filename ,total,non transposed,transposed
africa_bass,175,23,152
always_with_me_always_with_you_1,102,102,0
always_with_me_always_with_you_2,1,1,0
andura,4,4,0
canon_in_d,2,2,0
el_lagarto,16,9,7
flight_of_the_bumblebee,27,5,22
frantic_disembowelment,51,51,0
frere_jacques,4,4,0
house_of_the_rising_sun,35,35,0
passage_to_the_reaper,48,0,48
spain_bass,5,5,0
spheres_of_madness,162,86,76
the_loner,3,2,1
top_gun,32,16,16
transylvania,26,13,13
JKUPPD/bachBWV889Fg,13,4,9
JKUPPD/beethovenOp2No1Mvt3,14,12,2
JKUPPD/chopinOp24No4,29,18,11
JKUPPD/gibbonsSilverSwan1612,8,4,4
JKUPPD/mozartK282Mvt2,60,49,11
still_got_the_blues,0,0,0
still_got_the_blues,1,0,1
still_got_the_blues,1,0,1
still_got_the_blues,1,0,1
still_got_the_blues,1,0,1
still_got_the_blues,2,0,1
still_got_the_blues,2,0,1
still_got_the_blues,2,0,1
still_got_the_blues,2,0,1
still_got_the_blues,2,0,1
africa_bass,12,12,0
still_got_the_blues,2,0,1
africa_bass,12,12,0
still_got_the_blues,2,0,1
africa_bass,12,12,0
always_with_me_always_with_you_2,1,0,0
always_with_me_always_with_you_2,1,0,0
andura,4,4,0
andura,4,4,0
andura,0,0,0
andura,4,4,0
